,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,7,demande,request
6,8,genre,kind
7,9,mois,month
8,10,frÃƒÂ¨re,brother
9,11,laisser,let
10,12,mettre,to put
11,14,laisse,leash
12,15,eux,them
13,16,ville,city
14,17,chaque,each
15,18,parlÃƒÂ©,speak
16,19,arrivÃƒÂ©,come
17,20,devrait,should
18,21,bÃƒÂ©bÃƒÂ©,baby
19,22,longtemps,long time
20,23,heures,hours
21,24,vont,will
22,26,revoir,meet again
23,27,aucune,any
24,28,place,square
25,29,parle,speak
26,30,compris,understood
27,31,savais,knew
28,33,voici,here is
29,34,pourrais,could
30,35,affaire,case
31,37,donnÃƒÂ©,given
32,38,train,train
33,39,corps,body
34,40,endroit,place
35,41,yeux,eyes
36,42,faÃƒÂ§on,way
37,43,ÃƒÂ©coute,listen
38,44,trouve,find
39,45,premier,first
40,46,main,hand
41,47,premiÃƒÂ¨re,first
42,48,cÃƒÂ´tÃƒÂ©,side
43,49,pouvoir,power
44,50,sois,be
45,51,matin,morning
46,52,tellement,so much
47,53,enfant,child
48,54,point,point
49,55,venu,came
50,56,suite,after
51,57,pardon,sorry
52,58,venez,come
53,59,devant,in front of
54,60,vers,towards
55,61,minutes,minutes
56,62,demandÃƒÂ©,request
57,63,mis,placed
58,64,belle,beautiful
59,65,droit,law
60,67,aujourd'hui,today
61,68,enfin,finally
62,69,eau,water
63,70,attendez,Wait
64,71,parti,left
65,73,arrÃƒÂªter,Stop
66,75,terre,Earth
67,76,compte,account
68,77,donne,given
69,78,loin,far
70,79,fin,end
71,80,croire,believe
72,81,chÃƒÂ©rie,sweetheart
73,82,gros,large
74,83,plutÃƒÂ´t,rather
75,84,filles,girls
76,85,jouer,to play
77,86,bureau,office
